,X,Y,,Kinematic Tolerances,Lateral,60
Bogey Centre,13945,0,,,Vertical,50
Body Overhang,2755,0,,,Rotational,2
Vehicle Width,3050,0,,Structural Gauge (Straight Track),X,Y
Roll Centre,0,610,,1,0,0
Outline      Definition ,0,75,,2,2060,0
,679,75,,3,2060,3800
,679,0,,4,1525,5400
,820,0,,5,0,5400
,820,75,,,,
,940,75,,,,
,940,152,,,,
,1188,152,,,,
,1188,62,,,,
,1340,62,,,,
,1340,152,,,,
,1525,305,,,,
,1525,2930,,,,
,1485,3795,,,,
,870,4396,,,,
,864,4396,,,,
,840,4420,,,,
,0,4420,,,,
